Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
Pld. L 7060,Mina (3),Oggi Ti Amo Di Più,PDU,"LP, Comp",,1988,3173429,POP ITALIANO,2015-09-09 13:06:09,Near Mint (NM or M-),Near Mint (NM or M-),
6303 004,The Nice,Five Bridges,Philips,"LP, Album",,1970,2022359,Prog-Rock,2015-10-13 07:50:18,Near Mint (NM or M-),Very Good Plus (VG+),
6303 011,The Nice,Elegy,Philips,"LP, Album",,1970,5563904,Prog-Rock,2015-10-13 07:46:24,Near Mint (NM or M-),Very Good Plus (VG+),
6323 007 L,Le Orme,Collage,Philips,"LP, Album, Gat",,1971,1290280,Prog-Rock,2015-09-07 04:22:36,Very Good Plus (VG+),Very Good Plus (VG+),
6336 281,Blue Cheer,Vincebus Eruptum,Philips,"LP, Album, RE",,1979,1344522,Hard Rock,2015-09-22 07:31:15,Near Mint (NM or M-),Near Mint (NM or M-),
6369 916 L,Genesis,Nursery Cryme,Philips,"LP, Album",,1972,2398693,Prog-Rock,2015-09-08 05:30:29,Near Mint (NM or M-),Near Mint (NM or M-),COVER LAMINATE 1ST ITALIAN PRESS PERFECT COPY
SBL 7840,Scott Walker,Scott 2,Philips,"LP, Album",,1968,2403028,Folk-Rock,2015-09-25 10:50:09,Very Good Plus (VG+),Very Good Plus (VG+),
548 429 - 2,Serge Gainsbourg,Histoire De Melody Nelson,"Philips, Mercury","CD, Album, RE, RM",,0,395586,Pop,2015-03-03 04:31:11,Near Mint (NM or M-),Near Mint (NM or M-),
"370 621 PF, 370 621 BF",Paul Mauriat And His Orchestra,L'Amore È Blu,"Philips, Philips","7"", Mono",,1968,2715273,Pop,2015-03-05 00:44:03,Near Mint (NM or M-),Near Mint (NM or M-),
"SBL 7816, 844 202 BY",Scott Walker,Scott,"Philips, Philips","LP, Album",,1967,1206363,Uncategorized,2015-09-25 10:46:36,Very Good Plus (VG+),Very Good Plus (VG+),
"SBL 7882, 844 236 BY",Scott Walker,Scott 3,"Philips, Philips","LP, Album, Gat",,1969,679840,Folk-Rock,2015-09-25 10:52:51,Very Good Plus (VG+),Very Good Plus (VG+),
72063-1,Plasticland,Wonder Wonderful Wonderland,Pink Dust,"LP, Album",,1985,1771462,Alternative Rock,2015-10-15 07:59:16,Near Mint (NM or M-),Near Mint (NM or M-),
PLA-401,J.F.A.,Valley Of The Yakes,Placebo Records,"12"", Album",,1983,806427,"Hard Core, Punk",2015-10-20 02:15:04,Near Mint (NM or M-),Near Mint (NM or M-),
"NYR 1, NYR1",The Pogues,If I Should Fall From Grace With God,"Pogue Mahone Records, Pogue Mahone Records","LP, Album",,1988,619121,Folk-Rock,2015-10-15 08:44:29,Near Mint (NM or M-),Near Mint (NM or M-),
184 199,Bee Gees,Odessa,Polydor,"2xLP, Album, Gat",,1969,5733901,Pop,2015-09-07 06:58:00,Near Mint (NM or M-),Near Mint (NM or M-),felt sleeve.
2311 032,Killing Joke,Killing Joke,Polydor,"LP, Album",,1980,2227369,New Wave,2015-09-21 07:12:09,Near Mint (NM or M-),Near Mint (NM or M-),
2480 056,The Who,Who's Next,Polydor,"LP, Album, RE",,1981,996205,Rock,2015-09-29 10:46:08,Near Mint (NM or M-),Near Mint (NM or M-),
POLD 5165,Flesh For Lulu,Flesh For Lulu,Polydor,"LP, Album",,1984,1833858,Goth-Rock,2015-09-21 05:50:33,Near Mint (NM or M-),Near Mint (NM or M-),
PBS 122,Agent Orange (7),Living In Darkness,Posh Boy,"LP, RP",,1981,2784007,Punk,2015-09-28 08:05:56,Near Mint (NM or M-),Near Mint (NM or M-),
PBS 13,Black Flag,Louie Louie,Posh Boy,"7"", Single, Lar",,1981,5971133,"Hard Core, Punk",2015-10-22 08:02:01,Mint (M),Near Mint (NM or M-),
3C 062-91908,Steppenwolf,Steppenwolf 7,Probe,"LP, Album",,1971,3394867,Hard Rock,2015-09-29 07:45:04,Very Good Plus (VG+),Very Good Plus (VG+),
PACAN LP 713,Santo & Johnny,Disco D'Oro,"Produttori Associati, Canadian-American Records","LP, Album, Dlx, Gat",,1975,5821142,Rock,2015-09-08 22:59:55,Very Good Plus (VG+),Very Good Plus (VG+),
PVC 5906,The Long Ryders,10-5-60,PVC Records,"12"", EP",,1983,935826,Garage-Punk,2015-10-20 08:44:26,Near Mint (NM or M-),Near Mint (NM or M-),
"202 036, 202 036-241",The Kinks,Kinda Kinks,"PYE Records, PYE Records","LP, Album, Mono, RE",,1980,2399717,Rock,2015-10-14 02:16:23,Near Mint (NM or M-),Near Mint (NM or M-),
"1-25845, 9 25845-1",New Order,Technique,"Qwest Records, Qwest Records","LP, Album, ARC",,1989,246267,Alternative Rock,2015-09-29 07:28:47,Near Mint (NM or M-),Near Mint (NM or M-),
"RAB-TI-010, RAB-TI-012",The Texas Instruments,The Texas Instruments,"Rabid Cat Records, Rabid Cat Records","LP, Album",,1987,1698784,Indie Rock,2015-10-05 07:36:28,Near Mint (NM or M-),Near Mint (NM or M-),
CY 28331 (2),Scorpions,Tokyo Tapes,RCA,"2xLP, Album, RE",,1982,1986325,Hard Rock,2015-09-08 14:03:07,Near Mint (NM or M-),,
NL 33045,Patty Pravo,I Successi Di Patty Pravo,RCA,"LP, Comp",,1977,2738007,Pop,2015-04-14 04:45:07,Near Mint (NM or M-),Near Mint (NM or M-),
PL 71778 (2),Lucio Dalla / Gianni Morandi,Dalla / Morandi,RCA,"2xLP, Album, Gat",,1988,1297904,Pop,2015-04-14 04:54:33,Near Mint (NM or M-),Near Mint (NM or M-),
S 27,Various,Tempo Di Vacanze,RCA Italiana,"LP, Comp",,0,3570333,Pop,2015-04-16 02:41:35,Near Mint (NM or M-),Near Mint (NM or M-),
"YL 13807, KKAY 33486/7",Lou Reed,Coney Island Baby,"RCA, RCA","LP, Album, RE",,1981,1855486,Rock,2015-09-29 02:12:35,Near Mint (NM or M-),Near Mint (NM or M-),
PL 31361,Il Guardiano Del Faro Orchestra,... Per Vivere ,"RCA, RCA Italiana","LP, Album",,1982,7068718,POP ITALIANO,2015-09-08 04:50:17,Very Good Plus (VG+),Very Good Plus (VG+),
TPBO 1231,Golf Lima Lima,Adesso Musica / Leslie,"RCA, RCA Italiana","7""",,1976,3500131,Pop,2015-04-17 05:02:56,Near Mint (NM or M-),Near Mint (NM or M-),
RMS 5003,Mina (3),More Than Strangers,Regalia,"LP, Comp",,1969,2686251,POP ITALIANO,2015-09-09 12:58:05,Near Mint (NM or M-),Near Mint (NM or M-),
88561-8167-1,Hugo Largo,Drum,Relativity,"LP, Album",,1987,1667844,Ethereal,2015-10-20 01:52:55,Near Mint (NM or M-),Near Mint (NM or M-),
REP 4214-WZ,The Zombies,Odessey And Oracle,Repertoire Records,"CD, Album, Comp, RE",,1992,3752366,Rock,2015-03-04 02:07:18,Near Mint (NM or M-),Near Mint (NM or M-),
7599-26108-2,Gram Parsons,GP / Grievous Angel,Reprise Records,"CD, Comp",,0,414104,Rock,2015-03-03 04:33:08,Near Mint (NM or M-),Near Mint (NM or M-),
K 64017,Jimi Hendrix,"Sound Track Recordings From The Film ""Jimi Hendrix""",Reprise Records,"2xLP, Album",,1973,4088354,Rock,2015-10-16 08:07:42,Near Mint (NM or M-),Near Mint (NM or M-),
